statefips,state,year,month,yearmonth,firstdate,lastdate,uniform,notesapply,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15
1,Alabama,1998,1,199801,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1998,2,199802,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1998,3,199803,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1998,4,199804,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1998,5,199805,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1998,6,199806,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1998,7,199807,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1998,8,199808,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1998,9,199809,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1998,10,199810,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1998,11,199811,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1998,12,199812,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,1,199901,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,2,199902,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,3,199903,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,4,199904,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,5,199905,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,6,199906,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,7,199907,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,8,199908,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,9,199909,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,10,199910,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,11,199911,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,1999,12,199912,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,1,200001,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,2,200002,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,3,200003,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,4,200004,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,5,200005,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,6,200006,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,7,200007,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,8,200008,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,9,200009,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,10,200010,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,11,200011,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2000,12,200012,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,1,200101,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,2,200102,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,3,200103,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,4,200104,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,5,200105,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,6,200106,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,7,200107,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,8,200108,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,9,200109,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,10,200110,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,11,200111,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2001,12,200112,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,1,200201,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,2,200202,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,3,200203,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,4,200204,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,5,200205,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,6,200206,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,7,200207,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,8,200208,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,9,200209,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,10,200210,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,11,200211,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2002,12,200212,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,1,200301,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,2,200302,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,3,200303,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,4,200304,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,5,200305,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,6,200306,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,7,200307,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,8,200308,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,9,200309,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,10,200310,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,11,200311,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2003,12,200312,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,1,200401,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,2,200402,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,3,200403,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,4,200404,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,5,200405,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,6,200406,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,7,200407,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,8,200408,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,9,200409,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,10,200410,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,11,200411,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2004,12,200412,4,18,1,0,,,,,,,,,,,,,,,
1,Alabama,2005,1,200501,4,18,1,0,,,,,,,,,,,,,,,
